AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
8,2012,0,2,6000,21998
9,2012,0,2,6000,18918
10,2012,2,2,6000,18096
11,2012,1,2,5000,16806
12,2012,6,2,4000,14553
13,2012,6,2,4000,10612
14,2012,7,2,3000,7282
15,2012,5,2,2000,5547
16,2012,9,2,1000,4179
17,2012,11,2,1000,5672
1,2013,0,2,12000,24292
2,2013,0,2,10000,21785
3,2013,0,2,9000,21604
4,2013,0,2,9000,23165
5,2013,0,2,8000,25249
6,2013,0,2,8000,23677
7,2013,0,2,6000,22613
8,2013,0,2,6000,22364
9,2013,0,2,6000,19631
10,2013,2,2,6000,17954
11,2013,4,2,5000,17244
12,2013,10,2,4000,14835
13,2013,2,2,4000,11297
14,2013,14,2,3000,7591
15,2013,6,2,2000,5661
16,2013,8,2,1000,4218
17,2013,8,2,1000,5877
1,2014,0,2,12000,24255
2,2014,0,2,10000,22242
3,2014,0,2,9000,21366
4,2014,0,2,9000,22805
5,2014,0,2,8000,25684
6,2014,0,2,8000,24733
7,2014,0,2,6000,23151
8,2014,0,2,6000,22602
9,2014,0,2,6000,20503
10,2014,1,2,6000,17953
11,2014,1,2,5000,17617
12,2014,7,2,4000,15085
13,2014,7,2,4000,12008
14,2014,10,2,3000,7906
15,2014,6,2,2000,5784
16,2014,5,2,1000,4291
17,2014,14,2,1000,6052
1,2015,0,2,12000,24212
2,2015,0,2,10000,22762
3,2015,0,2,9000,21147
4,2015,0,2,9000,22472
5,2015,0,2,8000,25816
6,2015,0,2,8000,25810
7,2015,0,2,6000,23624
8,2015,0,2,6000,22748
9,2015,0,2,6000,21295
10,2015,3,2,6000,18122
11,2015,4,2,5000,17830
12,2015,3,2,4000,15315
13,2015,7,2,4000,12654
14,2015,11,2,3000,8305
15,2015,7,2,2000,5931
16,2015,11,2,1000,4378
17,2015,9,2,1000,6212
